doc_title,raw_positive,raw_negative,raw_net,tfidf_positive,tfidf_negative,tfidf_net
Text A,365,256,109,0.004869348607552138,0.007028399405240343,-0.0021590507976882055
Text B,344,281,63,0.011051884208051714,0.015607622736561593,-0.004555738528509878
