doc_id,word,n,tf,idf,tf_idf
A69858,india,58,0.028059990324141266,0.3022808718729337,0.008481998339927504
A69858,arg,7,0.003386550556361877,2.4423470353692043,0.00827113171145836
A69858,surrat,7,0.003386550556361877,2.4423470353692043,0.00827113171145836
A69858,answ,12,0.005805515239477504,1.1895840668738364,0.006906148428875683
A69858,bantam,6,0.002902757619738752,2.03688192726104,0.005912574534865139
A69858,tuns,9,0.0043541364296081275,1.1895840668738364,0.005179611321656762
A69858,company,56,0.027092404450895016,0.19105523676270922,0.005176145746836824
A69858,charter,10,0.004837929366231253,0.9382696385929302,0.004539282237991922
A69858,bombay,5,0.0024189646831156266,1.749199854809259,0.00423125267249458
A69858,naval,4,0.0019351717464925011,2.03688192726104,0.003941716356576759
A69858,bengall,3,0.001451378809869376,2.4423470353692043,0.0035447707334821544
A69858,legitimate,3,0.001451378809869376,2.4423470353692043,0.0035447707334821544
A69858,tho,6,0.002902757619738752,1.0560526742493137,0.003065464947022681
A69858,joint,11,0.005321722302854378,0.5705448584676129,0.0030362812980859904
A69858,argu,2,9.675858732462506e-4,3.1354942159291497,0.003033859908978374
