doc_id,word,n,tf,idf,tf_idf
A50763,poor,74,0.04525993883792049,0.3022808718729337,0.013681213772842258
A50763,parish,12,0.007339449541284404,1.1895840668738364,0.008730892233936414
A50763,fathers,17,0.010397553516819572,0.6505875661411494,0.006764519036329994
A50763,goals,3,0.001834862385321101,3.1354942159291497,0.005753200396200275
A50763,propose,6,0.003669724770642202,1.3437347467010947,0.004931136685141633
A50763,hospitals,6,0.003669724770642202,1.1895840668738364,0.004365446116968207
A50763,assembly,7,0.004281345565749235,0.9382696385929302,0.00401705655666698
A50763,design,6,0.003669724770642202,1.0560526742493137,0.003875422657795647
A50763,communication,5,0.0030581039755351682,1.1895840668738364,0.0036378717641401726
A50763,elected,4,0.0024464831804281344,1.3437347467010947,0.003287424456761088
A50763,election,4,0.0024464831804281344,1.3437347467010947,0.003287424456761088
A50763,dorchester,3,0.001834862385321101,1.749199854809259,0.0032095410179986406
A50763,whipping,3,0.001834862385321101,1.749199854809259,0.0032095410179986406
A50763,fills,2,0.0012232415902140672,2.4423470353692043,0.002987580471399638
A50763,medal,2,0.0012232415902140672,2.4423470353692043,0.002987580471399638
