doc_id,word,n,tf,idf,tf_idf
A32829,packs,9,0.005996002664890073,2.03688192726104,0.012213149463923625
A32829,cloth,40,0.02664890073284477,0.3629054936893685,0.009671032476732004
A32829,stuffs,19,0.012658227848101266,0.7375989431307791,0.00933669548266809
A32829,wool,22,0.014656895403064623,0.49643688631389105,0.007276223516925784
A32829,manufactors,3,0.001998667554963358,3.1354942159291497,0.0062668105581528645
A32829,cloths,5,0.0033311125916055963,1.5260563034950492,0.00508346536807145
A32829,foreigners,5,0.0033311125916055963,1.5260563034950492,0.00508346536807145
A32829,thousand,31,0.020652898067954697,0.2451224580329849,0.00506248913992174
A32829,african,3,0.001998667554963358,2.4423470353692043,0.004881439777553373
A32829,price,24,0.015989340439706862,0.3022808718729337,0.004833271768787747
A32829,clothiers,11,0.0073284477015323115,0.6505875661411494,0.004767796953732607
A32829,chapmen,4,0.002664890073284477,1.749199854809259,0.004661425329271843
A32829,clothes,19,0.012658227848101266,0.3629054936893685,0.0045937404264477025
A32829,clothier,5,0.0033311125916055963,1.3437347467010947,0.0044761317345139735
A32829,sheep,5,0.0033311125916055963,1.3437347467010947,0.0044761317345139735
