doc_id,word,n,tf,idf,tf_idf
A51598,wares,140,0.015199218325914667,0.49643688631389105,0.007545452620122109
A51598,treasure,108,0.011725111279991315,0.2451224580329849,0.002874088097661749
A51598,genova,10,0.0010856584518510477,2.4423470353692043,0.0026515547013019262
A51598,foreign,99,0.010748018673325373,0.2451224580329849,0.0026345807561899367
A51598,moneys,36,0.003908370426663772,0.6505875661411494,0.002542737203461229
A51598,war,34,0.003691238736293562,0.6505875661411494,0.0024014740254911606
A51598,realm,23,0.0024970144392574096,0.9382696385929302,0.002342872835483378
A51598,exchange,84,0.0091195309955488,0.2451224580329849,0.002235401853736916
A51598,gain,56,0.006079687330365867,0.3629054936893685,0.0022063519321034236
A51598,divers,27,0.0029312778199978287,0.7375989431307791,0.0021621074220530925
A51598,feats,11,0.0011942242970361524,1.749199854809259,0.0020889369669853273
A51598,country's,16,0.0017370535229616763,1.1895840668738364,0.002066371194222276
A51598,wonders,6,6.513950711106286e-4,3.1354942159291497,0.002042445477752133
A51598,exportations,14,0.0015199218325914667,1.3437347467010947,0.0020423717787227584
A51598,insurance,9,9.77092606665943e-4,2.03688192726104,0.001990222271778239
