doc_id,word,n,tf,idf,tf_idf
A07886,wares,88,0.01754036276659358,0.49643688631389105,0.008707683076663825
A07886,realm,33,0.006577636037472593,0.9382696385929302,0.006171596187675244
A07886,silkes,17,0.0033884791708192145,1.749199854809259,0.005927127273621169
A07886,indies,62,0.012357982858281841,0.42744401482693967,0.00528234580810649
A07886,indigo,23,0.004584412995814232,1.0560526742493137,0.004841381604092927
A07886,aleppo,11,0.0021925453458241976,2.03688192726104,0.004465955989609615
A07886,rawsilke,7,0.0013952561291608531,3.1354942159291497,0.00437481752272355
A07886,yearly,52,0.01036475981662348,0.3629054936893685,0.0037614282782234723
A07886,ll,14,0.0027905122583217062,1.3437347467010947,0.0037497082826022177
A07886,raw,20,0.003986446083316724,0.9382696385929302,0.0037403613258637845
A07886,india,62,0.012357982858281841,0.3022808718729337,0.003735581832992204
A07886,kingdom's,10,0.001993223041658362,1.749199854809259,0.0034865454550712764
A07886,sterling,30,0.005979669124975085,0.5705448584676129,0.003411669474592065
A07886,marseilles,8,0.0015945784333266893,2.03688192726104,0.003247967992443357
A07886,concerneth,15,0.0029898345624875425,1.0560526742493137,0.003157422785277996
