doc_id,word,n,tf,idf,tf_idf
A06788,sols,42,0.004213483146067416,2.4423470353692043,0.01029078807037586
A06788,silver,148,0.014847512038523275,0.42744401482693967,0.006346480155937708
A06788,livers,25,0.0025080256821829855,2.4423470353692043,0.006125469089509441
A06788,realm,60,0.006019261637239166,0.9382696385929302,0.005647690440968681
A06788,dearth,33,0.003310593900481541,1.5260563034950492,0.005052152690142117
A06788,commodities,171,0.017154895666131622,0.2451224580329849,0.004205050192981583
A06788,gold,136,0.013643659711075442,0.3022808718729337,0.004124217353001503
A06788,bodine,23,0.002307383627608347,1.749199854809259,0.0040360751064017816
A06788,price,130,0.013041733547351525,0.3022808718729337,0.003942266587427907
A06788,moneys,57,0.005718298555377207,0.6505875661411494,0.003720253939611308
A06788,velvet,15,0.0015048154093097914,2.4423470353692043,0.003675281453705665
A06788,shillings,62,0.006219903691813804,0.5705448584676129,0.00354873407152809
A06788,malestroit,12,0.001203852327447833,2.4423470353692043,0.0029402251629645315
A06788,crowns,22,0.0022070626003210273,1.1895840668738364,0.0026254865039350324
A06788,ounce,19,0.001906099518459069,1.3437347467010947,0.0025612921536236756
