doc_id,sentence_id,sentence
A32827,224,"9 i mention that place among others , that pay a high interest , and are consequently very poor ; if there be any contradiction in this , let the reader judge ."
A93819,35,"the premises were formerly in the time of king henry the eighth , king edward the sixth , and queen marry , belonging to sir thomas miles , and after his decease descended on six daughters & coheirs ."
